prev,curr,type,n
other-search,Raphael_Hadane,external,13
other-search,Raphael_House,external,13
other-search,Raphael_Khouri,external,13
other-search,Raphael_Thoene,external,13
other-search,Raphael_Xavier,external,13
other-empty,Frederic_Raphael,external,3302
BoJack_Horseman,Raphael_Bob-Waksberg,link,3280
other-search,Saint_Dominic_(Titian),external,13
other-search,Shamira_Raphaela,external,13
other-empty,Pre-Raphaelite_Brotherhood,external,3228
other-search,List_of_works_by_Michelangelo,external,3212
other-search,St._Raphael_School,external,13
other-search,Raphael_Borges_Rodrigues,external,3188
other-search,Raphael_Bob-Waksberg,external,3146
Leonardo_da_Vinci,Salvator_Mundi_(painting),link,3062
other-search,Transfiguration_(Raphael),external,3058
other-search,Raphael_Onyedika,external,3033
other-empty,Raphael_(archangel),external,3028
1935,Sally_Jessy_Raphael,link,12
1964_New_York_World's_Fair,Pietà_(Michelangelo),link,12
Leonardo_da_Vinci,List_of_works_by_Leonardo_da_Vinci,link,2804
1996_UEFA_Super_Cup,Michelangelo_Rampulla,link,12
1996–97_Juventus_FC_season,Michelangelo_Rampulla,link,12
1st_Born_Second,Raphael_Saadiq,link,12
2003_AFL_draft,Raphael_Clarke,link,12
other-external,Leonardo_da_Vinci,external,2700
2009_IndyCar_Series,Raphael_Matos,link,12
other-empty,The_Last_Judgment_(Michelangelo),external,2669
2013_World_Championships_in_Athletics,Raphael_Holzdeppe,link,12
2014–15_West_Ham_United_F.C._season,Raphael_Spiegel,link,12
David_(Michelangelo),Michelangelo,link,2616
other-search,Raphael_(Teenage_Mutant_Ninja_Turtles),external,2612
2019_FIFA_U-17_World_Cup_squads,Raphael_Lea'i,link,12
Raphael_Bob-Waksberg,Long_Story_Short_(TV_series),link,2572
other-empty,Titian,external,2570
"Life,_Larry_and_the_Pursuit_of_Unhappiness",June_Diane_Raphael,link,2558
2020–21_Belgian_First_Division_A,Raphael_Holzhauser,link,12
other-empty,Raphael_Bob-Waksberg,external,2533
other-search,Donatello_(Teenage_Mutant_Ninja_Turtles),external,2528
other-empty,Raphaela_Neihausen,external,2526
other-search,Raphael_(singer),external,2488
2025–26_UEFA_Champions_League_league_phase,Raphael_Onyedika,link,12
2025–26_Vietnamese_Cup,Raphael_Utzig,link,12
other-search,Mickey_Raphael,external,2439
Raphael_Warnock,Jon_Ossoff,link,2410
21st-century_genocides,Raphael_Lemkin,link,12
68th_Annual_Grammy_Awards,Raphael_Saadiq,link,12
70th_David_di_Donatello,Vermiglio_(film),link,12
Chiney_Ogwumike,Raphael_Akpejiori,link,2323
other-search,Michelangelo_(Teenage_Mutant_Ninja_Turtles),external,2313
Adoration_of_the_Magi_(Leonardo),List_of_works_by_Leonardo_da_Vinci,link,12
Adrien_Douady,Raphael_Douady,link,12
other-search,Raphael_De_Niro,external,2240
Afghan_Girl,Leonardo_da_Vinci,link,12
Agostino_Vespucci,Leonardo_da_Vinci,link,12
Archangel,Raphael_(archangel),link,2194
Leonardo_da_Vinci,Château_d'Amboise,link,2184
Raphael_Warnock,Kelly_Loeffler,link,2177
Raphael_De_Niro,Diahnne_Abbott,link,2175
Alessandro_Borghi_(actor),David_di_Donatello_for_Best_Actor,link,12
June_Diane_Raphael,Casey_Wilson,link,2137
other-internal,Michelangelo,external,2132
Tony!_Toni!_Toné!,Raphael_Saadiq,link,2130
other-search,Assumption_of_the_Virgin_(Titian),external,2125
Grace_and_Frankie,June_Diane_Raphael,link,2121
Amaryllis_Fleming,Raphael_Wallfisch,link,12
other-search,"David_(Donatello,_bronze)",external,2119
other-search,The_Rape_of_Europa_(Titian),external,2118
American_Pre-Raphaelites,Peter_Bonnett_Wight,link,12
Leonardo_da_Vinci,Salaì,link,2099
other-search,Raphael_Veiga,external,2096
other-empty,Donatello,external,2083
Leonardo_da_Vinci,High_Renaissance,link,2081
other-empty,Michelangelo_Antonioni,external,2074
Anton_Raphael_Mengs,Giacomo_Casanova,link,12
Arabelle_Raphael,Sex_work,link,12
Archduchess_Maria_Josepha_of_Austria_(1751–1767),Anton_Raphael_Mengs,link,12
Arthur_J._Bressan_Jr.,Raphael_Sbarge,link,12
Kelly_Loeffler,Raphael_Warnock,link,1951
Weapons_(2025_film),June_Diane_Raphael,link,1914
Azoulay,Raphael_Isaiah_Azulai,link,12
Azurite_(pigment),The_Entombment_(Michelangelo),link,12
Baby_Boy_(film),Raphael_Saadiq,link,12
Bacchus_(Michelangelo),Florence,link,12
other-search,Raphael_(given_name),external,1893
Raphael,The_School_of_Athens,link,1870
Pietà_(Michelangelo),Michelangelo,link,1860
other-search,Raphael_Nathan,external,1852
Battle_of_Cascina_(Michelangelo),Doni_Tondo,link,12
Battle_of_the_Atlantic,Italian_submarine_Leonardo_da_Vinci_(1939),link,12
other-search,Raphael_Lemkin,external,1817
other-empty,Assumption_of_the_Virgin_(Titian),external,1814
other-search,Personal_life_of_Leonardo_da_Vinci,external,1810
other-search,Portrait_of_a_Young_Man_(Raphael),external,1805
Big_Country,The_Raphaels,link,12
other-empty,List_of_works_by_Leonardo_da_Vinci,external,1771
Biltmore_Estate,Raphael,link,12
Blow-Up_(short_story),Michelangelo_Antonioni,link,12
Teenage_Mutant_Ninja_Turtles,Donatello_(Teenage_Mutant_Ninja_Turtles),link,1746
BoJack_Horseman_season_1,Raphael_Bob-Waksberg,link,12
Bob_Kane,Leonardo_da_Vinci,link,12
Book_of_Judith,Michelangelo,link,12
2028_United_States_presidential_election,Raphael_Warnock,link,1724
David_(Michelangelo),David,link,1722
The_Last_Supper_(Leonardo),Leonardo_da_Vinci,link,1687
Burial_of_Jesus,The_Entombment_(Michelangelo),link,12
Camera_obscura,Leonardo_da_Vinci,link,12
Caprese_Michelangelo,Tuscany,link,12
Cardinal_and_Theological_Virtues_(Raphael),Raphael_Rooms,link,12
Catafalque,Michelangelo,link,12
Catholic_Church_and_Nazi_Germany,Raphael's_Verein,link,12
Teenage_Mutant_Ninja_Turtles,Raphael_(Teenage_Mutant_Ninja_Turtles),link,1586
other-search,Raphael_Ravenscroft,external,1582
other-search,Titian_hair,external,1579
other-external,Saint_George_and_the_Dragon_(Raphael),external,1577
Pre-Raphaelite_Brotherhood,Dante_Gabriel_Rossetti,link,1555
Zabriskie_Point_(film),Michelangelo_Antonioni,link,1552
other-empty,Raphael_Saadiq,external,1540
Church_of_Sts._Cyril_&_Methodius_and_St._Raphael,"Hell's_Kitchen,_Manhattan",link,12
Claude_Monet,Leonardo_da_Vinci,other,12
Complex_Simplicity,Raphael_Saadiq,link,12
David_(Michelangelo),Galleria_dell'Accademia,link,1477
Conservation-restoration_of_Leonardo_da_Vinci's_The_Last_Supper,List_of_works_by_Leonardo_da_Vinci,link,12
Pre-Raphaelite_Brotherhood,Nazarene_movement,link,1466
Donatello,"David_(Donatello,_bronze)",link,1465
Drena_De_Niro,Raphael_De_Niro,link,1459
Leonardo_da_Vinci,Francesco_Melzi,link,1457
Alan_Ritchson,Raphael_(Teenage_Mutant_Ninja_Turtles),link,1445
Raphael,Michelangelo,link,1441
Cultural_references_to_Leonardo_da_Vinci,Ever_After,link,12
Michelangelo_Antonioni,The_Passenger_(1975_film),link,1440
D.J._Gugenheim,Samson_Raphael_Hirsch,link,12
Da_Vinci's_self_supporting_bridge,Science_and_inventions_of_Leonardo_da_Vinci,other,12
Daisy_Miller_(film),Frederic_Raphael,link,12
Leonardo_da_Vinci,"Vinci,_Tuscany",link,1424
Teenage_Mutant_Ninja_Turtles,Michelangelo_(Teenage_Mutant_Ninja_Turtles),link,1417
"David_(Donatello,_bronze)",Domenico_Ghirlandaio,link,12
"David_(Donatello,_bronze)",Favourite,link,12
"David_(Donatello,_bronze)",Philistines,link,12
Raphael_Bob-Waksberg,Undone_(TV_series),link,1404
other-empty,Michelangelo_(Teenage_Mutant_Ninja_Turtles),external,1402
David_di_Donatello,Academy_Awards,link,12
David_di_Donatello,David_di_Donatello_for_Best_Foreign_Director,link,12
David_di_Donatello_for_Best_Actor,David_di_Donatello,link,12
David_di_Donatello_for_Best_Actress,Micaela_Ramazzotti,link,12
David_di_Donatello_for_Best_Actress,Virna_Lisi,link,12
David_di_Donatello_for_Best_Film,71st_David_di_Donatello,link,12
David_di_Donatello_for_Best_Film,Caesar_Must_Die,link,12
David_di_Donatello_for_Best_Film,David_di_Donatello,link,12
Robin_Cormack,Raphael_Cormack,link,1391
Leonardo_da_Vinci,Andrea_del_Verrocchio,link,1384
other-search,Masaccio,external,1381
other-search,Holy_Trinity_(Masaccio),external,1379
other-search,Sylvia_Raphael,external,1377
Depiction_of_Jesus,Michelangelo,link,12
other-search,Bacchus_(Michelangelo),external,1362
other-search,Raphael_Rooms,external,1358
Leonardo_da_Vinci,Da_Vinci_family,link,1357
Michelangelo_Antonioni,Blowup,link,1354
Pre-Raphaelite_Brotherhood,John_Everett_Millais,link,1344
Donatello,Arte_della_Lana,link,12
Donatello,Palazzo_Medici_Riccardi,link,12
Donatello,Sagrestia_Vecchia,link,12
Donatello_(Teenage_Mutant_Ninja_Turtles),April_O'Neil,link,12
Donatello_(Teenage_Mutant_Ninja_Turtles),Corey_Feldman,link,12
Donatello_(Teenage_Mutant_Ninja_Turtles),Teenage_Mutant_Ninja_Turtles_(2003_TV_series)_season_4,link,12
The_Creation_of_Adam,Michelangelo,link,1338
Draco_(legislator),Raphael_Sealey,link,12
Baker_Street_(song),Raphael_Ravenscroft,link,1323
other-search,Replicas_of_Michelangelo's_David,external,1321
other-empty,Science_and_inventions_of_Leonardo_da_Vinci,external,1318
El_Escorial,Titian,link,12
Engineering_drawing,Science_and_inventions_of_Leonardo_da_Vinci,link,12
Sistine_Chapel,The_Last_Judgment_(Michelangelo),link,1264
Ethnocide,Raphael_Lemkin,link,12
The_School_of_Athens,Raphael,link,1259
Ever_After,Cultural_references_to_Leonardo_da_Vinci,link,12
Ezra_Stiles,Raphael_Hayyim_Isaac_Carregal,link,12
Feast_of_Saint_Lawrence,The_Martyrdom_of_Saint_Lawrence_(Titian),other,12
Max_Minghella,Emanuel_Raphael_Belilios,link,1231
Flavia_Titiana,Pertinax_the_Younger,link,12
Flora_(Titian),Vanity_(Titian),link,12
other-internal,Raphael,external,1210
other-search,Flaying_of_Marsyas_(Titian),external,1203
Francesco_II_Sforza,Titian,link,12
Francesco_Maria_I_della_Rovere,Titian,link,12
Francesco_Vecellio,Titian,link,12
Diane_Cilento,Raphael_Cilento,link,1196
Michelangelo_Antonioni,L'Avventura,link,1193
Frederic_Raphael,Women_&_Men:_Stories_of_Seduction,link,12
Michelangelo,High_Renaissance,link,1164
Genocides_in_history_(before_1490),Raphael_Lemkin,link,12
Raphael,Leonardo_da_Vinci,link,1155
Gian_Lorenzo_Bernini,David_(Michelangelo),link,12
Gianni_Infantino,Raphael_Claus,other,12
Michelangelo,Raphael,link,1150
Gidea_Park,Raphael_Park,link,12
other-search,Yuval_Raphael,external,1150
Giulio_Romano,Raphael_Rooms,link,12
Giuseppe_Arcimboldo,Leonardo_da_Vinci,link,12
Raphael_Warnock,2022_United_States_Senate_election_in_Georgia,link,1145
Gordon_Raphael,Fobia,link,12
Gordon_Raphael,Moses_Schneider,link,12
Pre-Raphaelite_Brotherhood,Quattrocento,link,1125
Greek_mythology,Leonardo_da_Vinci,link,12
Greyhound,Pre-Raphaelite_Brotherhood,link,12
Georgia_(U.S._state),Raphael_Warnock,link,1117
Hanno_(elephant),Raphael,link,12
Pre-Raphaelite_Brotherhood,William_Holman_Hunt,link,1101
Hard_to_Explain,Gordon_Raphael,link,12
other-search,Michelangelo_phenomenon,external,1095
other-empty,Moses_(Michelangelo),external,1088
Raphael,Sistine_Madonna,link,1085
Henri_Matisse,Donatello,link,12
Leonardo_da_Vinci,Saint_John_the_Baptist_(Leonardo),link,1081
Hesperus,Anton_Raphael_Mengs,link,12
Sistine_Chapel,Michelangelo,link,1074
History_of_Western_civilization,Raphael,link,12
History_of_the_nude_in_art,"David_(Donatello,_bronze)",link,12
Homoeroticism,Michelangelo,link,12
Raphael_Warnock,Herschel_Walker,link,1052
other-empty,Vandalism_of_Michelangelo's_Pietà,external,1047
Il_Sodoma,Leonardo_da_Vinci,link,12
Mating_Season,June_Diane_Raphael,link,1032
Pietà_(Michelangelo),Vandalism_of_Michelangelo's_Pietà,link,1028
Infanta_María_Josefa_of_Spain,Anton_Raphael_Mengs,link,12
Leonardo_da_Vinci,Anchiano,link,1017
other-internal,David_(Michelangelo),external,1017
Italian_battleship_Leonardo_da_Vinci,Austria-Hungary,link,12
Italian_lira,Galatea_(Raphael),link,12
Italian_submarine_Leonardo_da_Vinci_(1939),CA-class_submarine,link,12
Jacques-Louis_David,Raphael,link,12
Salvator_Mundi_(painting),Leonardo_da_Vinci,link,1002
other-empty,Raphael_De_Niro,external,996
other-search,Penitent_Magdalene_(Donatello),external,995
Raphael_Warnock,Ebenezer_Baptist_Church,link,989
other-search,The_Deposition_(Michelangelo),external,977
John_Castle,Michelangelo_Antonioni,link,12
John_Rogers_Herbert,Pre-Raphaelite_Brotherhood,link,12
Leonardo_da_Vinci,Personal_life_of_Leonardo_da_Vinci,link,970
Leonardo_da_Vinci,Renaissance_humanism,link,967
Joseph_Needham,Leonardo_da_Vinci_Medal,link,12
Joseph_Noel_Paton,Pre-Raphaelite_Brotherhood,link,12
José_Luis_Perales,Raphael_(singer),link,12
June_Diane_Raphael,Fresh_Off_the_Boat,link,12
June_Diane_Raphael,Jon_Cryer,link,12
June_Diane_Raphael,Star_Trek:_Lower_Decks,link,12
other-search,Piazzale_Michelangelo,external,954
Vitruvian_Man,Leonardo_da_Vinci,link,953
Kahlil_Gibran,Leonardo_da_Vinci,link,12
Seven_Archangels,Raphael_(archangel),link,952
Raphael,Raphael_Rooms,link,945
Stop!_That!_Train!,June_Diane_Raphael,link,945
other-internal,Titian,external,942
Kimbell_Art_Museum,Michelangelo,link,12
Raphael_Rowe,M25_Three,link,931
Leonardo_da_Vinci,Bacchus_(Leonardo),link,925
Once_Upon_a_Time_(TV_series),Raphael_Sbarge,link,921
LGBTQ_nobility_and_royalty,Personal_life_of_Leonardo_da_Vinci,link,12
June_Diane_Raphael,Grace_and_Frankie,link,916
Michelangelo_Antonioni,Zabriskie_Point_(film),link,915
other-empty,Raphael_(Teenage_Mutant_Ninja_Turtles),external,910
Latymer_Upper_School,Raphael_Wallfisch,link,12
Club_América,Raphael_Veiga,link,909
Michelangelo_Antonioni,La_Notte,link,904
Leonardo_da_Vinci,Genghis_Khan,other,12
Leonardo_da_Vinci,John_Argyropoulos,link,12
Leonardo_da_Vinci,Predella,link,12
Raphael_Warnock,2020–21_United_States_Senate_special_election_in_Georgia,link,899
other-empty,Transfiguration_(Raphael),external,898
Liberation_of_Saint_Peter_(Raphael),Raphael_Rooms,link,12
Liechtenstein,Leonardo_da_Vinci,link,12
John_William_Waterhouse,Pre-Raphaelite_Brotherhood,link,894
List,Michelangelo,link,12
Sistine_Chapel_ceiling,Michelangelo,link,886
Long_Story_Short_(TV_series),Raphael_Bob-Waksberg,link,883
Syro-Malabar_Church,Raphael_Thattil,link,880
List_of_Family_Guy_characters,Leonardo_da_Vinci,link,12
Leonardo_da_Vinci,Republic_of_Florence,link,875
Michelangelo,Mannerism,link,875
Main_Page,Leonardo_da_Vinci,other,872
List_of_Italian_painters,Michelangelo_Anselmi,link,12
List_of_LGBTQ_Catholics,Leonardo_da_Vinci,link,12
List_of_LGBTQ_Catholics,Michelangelo,link,12
List_of_LGBTQ_artists,Michelangelo,link,12
Leonardo_da_Vinci,Caterina_di_Meo_Lippi,link,865
Renaissance,Leonardo_da_Vinci,link,861
List_of_Pre-Raphaelite_paintings,Daniel_Alexander_Williamson,link,12
List_of_Pre-Raphaelite_paintings,Dante_Gabriel_Rossetti,link,12
List_of_Pre-Raphaelite_paintings,Eos_(painting),link,12
List_of_Pre-Raphaelite_paintings,Evelyn_De_Morgan,link,12
List_of_Pre-Raphaelite_paintings,"I_Am_Half-Sick_of_Shadows,_Said_the_Lady_of_Shalott",link,12
List_of_Pre-Raphaelite_paintings,Joseph_Noel_Paton,link,12
List_of_Pre-Raphaelite_paintings,Love's_Shadow,link,12
List_of_Pre-Raphaelite_paintings,Margaret_Wilson_(Scottish_martyr),link,12
List_of_Pre-Raphaelite_paintings,Mary_Magdalene_(Sandys),link,12
List_of_Pre-Raphaelite_paintings,Morgan_le_Fay_(painting),link,12
List_of_Pre-Raphaelite_paintings,Queen_Eleanor_(painting),link,12
List_of_Pre-Raphaelite_paintings,Simeon_Solomon,link,12
List_of_Pre-Raphaelite_paintings,The_Boyhood_of_Raleigh,link,12
List_of_Pre-Raphaelite_paintings,Thoughts_of_the_Past,link,12
List_of_Rise_of_the_Teenage_Mutant_Ninja_Turtles_characters,Donatello_(Teenage_Mutant_Ninja_Turtles),link,12
List_of_S.H.I.E.L.D._members,Leonardo_da_Vinci,link,12
List_of_Sabrina_the_Teenage_Witch_(1996_TV_series)_characters,Sally_Jessy_Raphael,link,12
High_Renaissance,Raphael,link,858
Pre-Raphaelite_Brotherhood,Mannerism,link,846
List_of_authors_banned_in_Nazi_Germany,Leonardo_da_Vinci,link,12
Raphael_De_Niro,Robert_De_Niro_Sr.,link,842
other-empty,Donatello_(Teenage_Mutant_Ninja_Turtles),external,838
Blowup,Michelangelo_Antonioni,link,837
Blockers_(film),June_Diane_Raphael,link,835
Eintracht_Frankfurt,Raphael_Onyedika,link,829
Sally_Jessy_Raphael,Sally_(talk_show),link,828
Leonardo_da_Vinci,Leonardo's_fighting_vehicle,link,827
other-search,Saint_George_and_the_Dragon_(Raphael),external,824
Pre-Raphaelite_Brotherhood,Raphael,link,820
other-search,List_of_paintings_by_Raphael,external,813
List_of_mountain_men,Jacques_Raphael_Finlay,link,12
Michelangelo,St._Peter's_Basilica,link,810
List_of_new_jack_swing_artists,Raphael_Saadiq,link,12
List_of_paintings_by_Dante_Gabriel_Rossetti,Pre-Raphaelite_Brotherhood,link,12
List_of_paintings_by_Raphael,Madonna_of_the_Baldacchino,link,12
List_of_paintings_by_Raphael,Portrait_of_a_Cardinal_(Raphael),link,12
List_of_people_claimed_to_possess_an_eidetic_memory,Leonardo_da_Vinci,link,12
List_of_people_who_were_beheaded,Titian,link,12
Michelangelo,Tommaso_dei_Cavalieri,link,804
Raphael_Borges_Rodrigues,"Cristiano_(footballer,_born_1981)",link,803
Michelangelo_Antonioni,L'Eclisse,link,798
Raphael,Transfiguration_(Raphael),link,796
Raphael_Saadiq,Tony!_Toni!_Toné!,link,795
List_of_statues,Pietà_(Michelangelo),link,12
List_of_statues_of_Jesus,"Risen_Christ_(Michelangelo,_Santa_Maria_sopra_Minerva)",link,12
List_of_vegetarians,Leonardo_da_Vinci,link,12
other-search,List_of_Pre-Raphaelite_paintings,external,790
List_of_works_by_Michelangelo,Florence,link,12
List_of_works_by_Michelangelo,Porta_Pia,link,12
List_of_works_by_Titian,La_Bella,link,12
List_of_works_by_Titian,Portrait_of_Giacomo_di_Andrea_Dolfin,link,12
List_of_works_by_Titian,Portrait_of_Isabella_of_Portugal_(Titian),link,12
"Lives_of_the_Most_Excellent_Painters,_Sculptors,_and_Architects",Michelangelo,link,12
Longevity,Michelangelo,link,12
other-external,David_(Michelangelo),external,778
Luca_della_Robbia,Girolamo_della_Robbia,link,12
"Lucky_Man_(Emerson,_Lake_&_Palmer_song)",Pre-Raphaelite_Brotherhood,link,12
Zodiac_(film),June_Diane_Raphael,link,773
Jason_Mantzoukas,June_Diane_Raphael,link,772
John_Everett_Millais,Pre-Raphaelite_Brotherhood,link,768
other-empty,Arabelle_Raphael,external,764
Main_Page,Frederic_Raphael,other,12
other-empty,Raphael_Sbarge,external,762
Main_Page,Raphael_(Teenage_Mutant_Ninja_Turtles),other,12
Main_Page,Raphael_Bob-Waksberg,other,12
Main_Page,Titian_hair,other,12
Margarita_Luti,Galatea_(Raphael),link,12
other-search,Raphael_Obermair,external,747
Martin_Luther,Leonardo_da_Vinci,other,12
Raphael_(archangel),Archangel,link,743
Masaccio,International_Gothic,link,12
Mascarene_Islands,Raphael_Fishing_Company,link,12
Matter_of_Britain,Raphael_Holinshed,link,12
Maureen_Stapleton,Raphael_Soyer,link,12
Sally_(talk_show),Sally_Jessy_Raphael,link,739
other-empty,Raphael_Armattoe,external,739
Raphael_Cormack,Robin_Cormack,link,736
other-external,Michelangelo,external,734
Metamorphoses,Diana_and_Actaeon_(Titian),link,12
Lisa_del_Giocondo,Leonardo_da_Vinci,link,730
other-search,The_Tribute_Money_(Masaccio),external,730
Michelangelo,Bastiano_da_Sangallo,link,12
Michelangelo,Contrapposto,link,12
Michelangelo,John_the_Baptist,link,12
Michelangelo,Masaccio,link,12
Michelangelo,Nanny,link,12
Michelangelo,Palazzo_Farnese,link,12
Michelangelo_(Teenage_Mutant_Ninja_Turtles),April_O'Neil,link,12
Michelangelo_(Teenage_Mutant_Ninja_Turtles),Brandon_Mychal_Smith,link,12
Michelangelo_(Teenage_Mutant_Ninja_Turtles),Ninjutsu,link,12
Michelangelo_(Teenage_Mutant_Ninja_Turtles),Teenage_Mutant_Ninja_Turtles_(2003_TV_series),link,12
Michelangelo_(disambiguation),Michelangelo,link,12
Michelangelo_(disambiguation),SS_Michelangelo,link,12
Michelangelo_(given_name),Michelangelo_(Teenage_Mutant_Ninja_Turtles),link,12
Michelangelo_Antonioni,Antonioni_(surname),link,12
Michelangelo_Antonioni,Emilia-Romagna,link,12
Michelangelo_Antonioni,Italian_neorealism,link,12
Michelangelo_Antonioni,Richard_Brody,link,12
Michelangelo_Antonioni,University_of_Bologna,link,12
Michelangelo_Dying,Mexican_Summer,link,12
Michelangelo_Florio,John_Florio,link,12
Michelangelo_Rampulla,Andreas_Isaksson,link,12
Michelangelo_Rampulla,Fabián_Carini,link,12
Michelangelo_Signorile,David_Geffen,link,12
Michelangelo_and_the_Medici,Pope_Leo_X,link,12
Michelangelo,List_of_works_by_Michelangelo,link,728
Suleiman_the_Magnificent,Titian,link,728
Mike_Pondsmith,The_Lost_Notebooks_of_Leonardo_da_Vinci,link,12
other-search,The_Marriage_of_the_Virgin_(Raphael),external,723
other-empty,Raphael_Lemkin,external,718
Mony_Mony,The_Michelangelo,link,12
Moses_(Michelangelo),Sagrestia_Nuova,link,12
other-internal,Pre-Raphaelite_Brotherhood,external,713
other-search,Sisyphus_(Titian),external,712
other-external,Pietà_(Michelangelo),external,711
other-search,Galatea_(Raphael),external,710
Museo_Nazionale_Scienza_e_Tecnologia_Leonardo_da_Vinci,Human_torpedo,link,12
Museo_de_Arte_de_Ponce,Pre-Raphaelite_Brotherhood,link,12
Museo_del_Prado,Portrait_of_a_Cardinal_(Raphael),link,12
My_Little_Pony_(TV_special),Gerrianne_Raphael,link,12
Risky_Business,Raphael_Sbarge,link,708
other-search,Raphael_Cartoons,external,705
other-empty,Raphael_Rowe,external,704
other-search,List_of_works_by_Titian,external,703
Raphael_Bob-Waksberg,Tuca_&_Bertie,link,702
National_Gallery,Raphael,link,12
Neasden,St_Raphael's_Estate,link,12
Nerva,Lucius_Salvius_Otho_Titianus,link,12
Leonardo_da_Vinci,Double_hull,link,696
New_Historians,Raphael_Israeli,link,12
Hibernian_F.C.,Raphael_Sallinger,link,695
other-search,Danaë_(Titian_paintings),external,692
other-search,Gordon_Raphael,external,692
Ninja_Turtles:_The_Next_Mutation,Donatello_(Teenage_Mutant_Ninja_Turtles),link,12
Noga_Alon,Raphael_Yuster,link,12
other-search,Andrea_del_Sarto,external,688
Nude_(art),Titian,link,12
Nymph_and_Shepherd,Titian,link,12
Leonardo_da_Vinci,Paleontology,link,683
Sistine_Chapel_ceiling,The_Last_Judgment_(Michelangelo),link,683
